item_code,sec_description,relevance,candidate_trigger,action
1.01,Entry into a Material Definitive Agreement,high,acquisition,READ - may be an acquisition/JV/partnership agreement; confirm from the filing before firing anything
1.02,Termination of a Material Definitive Agreement,medium,,READ - partnership or vendor exit; context only
1.03,Bankruptcy or Receivership,disqualifying,,STOP - do not build a play
1.04,Mine Safety - Reporting of Shutdowns and Patterns of Violations,none,,ignore
1.05,Material Cybersecurity Incidents,none,,ignore - not a marketing buying signal
2.01,Completion of Acquisition or Disposition of Assets,high,acquisition,READ - strongest primary acquisition evidence; log announce AND close dates
2.02,Results of Operations and Financial Condition,low,,context only - earnings; never a trigger
2.03,Creation of a Direct Financial Obligation or an Obligation under an Off-Balance Sheet Arrangement of a Registrant,none,,ignore
2.04,Triggering Events That Accelerate or Increase a Direct Financial Obligation or an Obligation under an Off-Balance Sheet Arrangement,none,,ignore
2.05,Costs Associated with Exit or Disposal Activities,medium,,READ - restructuring; a marketing team may be cut. Context and a disqualifier check, not a trigger
2.06,Material Impairments,low,,context only
3.01,Notice of Delisting or Failure to Satisfy a Continued Listing Rule or Standard; Transfer of Listing,low,,context only
3.02,Unregistered Sales of Equity Securities,medium,funding_round,READ - may evidence a raise; Tier B
3.03,Material Modification to Rights of Security Holders,none,,ignore
4.01,Changes in Registrant's Certifying Accountant,none,,ignore
4.02,Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review,low,,context only
5.01,Changes in Control of Registrant,high,acquisition,READ - the account itself was acquired; re-check conflict list before anything
5.02,Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Compensatory Arrangements of Certain Officers,high,new_marketing_leader,CANDIDATE ONLY - most 5.02 filings are CFO/board/comp and are NOT marketing. NEVER auto-fire. Claude must read the filing and confirm the named officer is a marketing/revenue leader before this becomes a trigger
5.03,Amendments to Articles of Incorporation or Bylaws; Change in Fiscal Year,low,rebrand_repositioning,READ ONLY IF the amendment is a legal name change; otherwise ignore
5.04,Temporary Suspension of Trading Under Registrant's Employee Benefit Plans,none,,ignore
5.05,"Amendments to the Registrant's Code of Ethics, or Waiver of a Provision of the Code of Ethics",none,,ignore
5.06,Change in Shell Company Status,none,,ignore
5.07,Submission of Matters to a Vote of Security Holders,none,,ignore
5.08,Shareholder Director Nominations,none,,ignore
6.01,ABS Informational and Computational Material,none,,ignore
6.02,Change of Servicer or Trustee,none,,ignore
6.03,Change in Credit Enhancement or Other External Support,none,,ignore
6.04,Failure to Make a Required Distribution,none,,ignore
6.05,Securities Act Updating Disclosure,none,,ignore
6.06,Static Pool,none,,ignore
7.01,Regulation FD Disclosure,medium,product_launch_ga,READ - often carries the press release exhibit; the launch/expansion evidence is in the exhibit not the item code
8.01,Other Events,medium,,READ - genuine catch-all; launches and expansions land here
9.01,Financial Statements and Exhibits,low,,context only - names the exhibits attached to the other items in the same filing
